name,lon,lat,region,cluster
Princeton Municipal Light and Water Plant,-71.899597,42.47699,NE,0
naip_6842_PA_WND_i1j1,-79.0177797,39.984175,NE,2
Howard,-77.53743,42.293144,NE,1
naip_6882_PA_WND_i1j0,-77.034605,41.53730820000001,NE,1
naip_3600_MA_WND_i0j0,-71.0758372,42.3963941,NE,0
6th Space Warning Squadron,-70.545303,41.754192,NE,0
naip_6031_NY_WND_i0j0,-77.50170200000002,42.550607899999996,NE,1
naip_3732_MA_WND_i0j0,-70.6139055,41.61330570000001,NE,0
New York State Thruway Authority,-79.74047900000002,42.26545,NE,1
WED Coventry 2,-71.703789,41.667122,NE,0
naip_6809_PA_WND_i0j0,-78.4819257,40.5278534,NE,2
Hoosac,-73.022797,42.713291,NE,0
naip_3598_MA_WND_i0j0,-70.5438908,41.757503299999996,NE,0
Harbec Plastics,-77.36174,43.226089,NE,1
naip_3598_MA_WND_i1j0,-70.5438908,41.757503299999996,NE,0
naip_3600_MA_WND_i1j0,-71.0758372,42.3963941,NE,0
Berkshire Wind Power Project Phase II,-73.271652,42.599884,NE,0
naip_6184_NY_WND_i0j0,-78.3097006,42.54170560000001,NE,1
Deerfield Wind,-72.97221400000002,42.85096,NE,0
Meyersdale,-79.010696,39.778793,NE,2
Mill Run Windpower LLC,-79.3918,39.918194,NE,2
North Kingstown Green,-71.4869,41.581593,NE,0
naip_3878_MD_WND_i0j1,-79.4722284,39.2594502,NE,2
Forbes Park,-71.01329799999998,42.39959,NE,0
naip_3784_MA_WND_i0j1,-70.6256015,41.611706700000006,NE,0
naip_3784_MA_WND_i0j0,-70.6256015,41.611706700000006,NE,0
Kibby Mountain II,-70.589996,45.32078900000001,NE,3
naip_6031_NY_WND_i0j1,-77.50170200000002,42.550607899999996,NE,1
naip_3646_MA_WND_i1j1,-70.8783785,41.644064,NE,0
naip_6188_NY_WND_i0j0,-78.2328049,42.6747011,NE,1
naip_6188_NY_WND_i0j1,-78.2328049,42.6747011,NE,1
Nature's Classroom Wind Turbine,-72.003899,42.110889,NE,0
naip_3596_MA_WND_i1j1,-70.64500509999998,41.9302852,NE,0
Philips Lightolier,-71.116997,41.74609,NE,0
naip_3878_MD_WND_i1j1,-79.4722284,39.2594502,NE,2
Air Force (Barnstable),-70.591103,41.657692,NE,0
Hull I,-70.922195,42.30439000000001,NE,0
Portsmouth Abbey School,-71.2687,41.599091,NE,0
naip_3596_MA_WND_i1j0,-70.64500509999998,41.9302852,NE,0
Scituate Wind,-70.7285,42.175091,NE,0
Somerset,-79.012596,39.979893,NE,2
Fourmile Ridge,-79.014236,39.6329,NE,2
naip_5502_NH_WND_i1j1,-72.1505007,43.238007700000004,NE,0
naip_5502_NH_WND_i1j0,-72.1505007,43.238007700000004,NE,0
naip_6882_PA_WND_i0j1,-77.034605,41.53730820000001,NE,1
Falmouth II,-70.621498,41.609291,NE,0
naip_3718_MA_WND_i1j1,-71.9891992,42.5935833,NE,0
Ipswich,-70.841103,42.716091,NE,0
Casselman,-79.143394,39.861893,NE,2
naip_3967_ME_WND_i0j0,-70.6327791,44.638616,NE,3
naip_6861_PA_WND_i1j1,-78.6856366,40.3245646,NE,2
naip_8032_VT_WND_i1j1,-72.9678059,42.8675065,NE,0
naip_6980_PA_WND_i1j1,-78.82030309999998,40.0361066,NE,2
naip_6333_NY_WND_i1j0,-76.97333990000001,42.89194970000001,NE,1
naip_6188_NY_WND_i1j0,-78.2328049,42.6747011,NE,1
Forward,-78.869293,40.097092,NE,2
naip_5495_NH_WND_i1j1,-71.8239002,43.77310720000001,NE,0
naip_3646_MA_WND_i1j0,-70.8783785,41.644064,NE,0
Sandywoods,-71.1539,41.620491,NE,0
Record Hill,-70.63299599999998,44.679489,NE,3
naip_6031_NY_WND_i1j1,-77.50170200000002,42.550607899999996,NE,1
Noble Bliss,-78.230293,42.566593,NE,1
Patriot,-69.334999,44.49638,NE,3
WED Coventry 4,-71.729477,41.68652700000001,NE,0
naip_3985_ME_WND_i1j0,-70.5648215,44.4205949,NE,3
Marsh Hill,-77.495827,42.172871,NE,1
Seneca Nation,-79.102692,42.580894,NE,1
Camelot Wind Project,-70.644302,41.925491,NE,0
naip_3598_MA_WND_i0j1,-70.5438908,41.757503299999996,NE,0
Charlestown Wind Turbine,-71.070999,42.391491,NE,0
Wind Colebrook South,-73.145027,41.964752,NE,0
naip_3967_ME_WND_i1j1,-70.6327791,44.638616,NE,3
naip_3718_MA_WND_i0j0,-71.9891992,42.5935833,NE,0
Applied Materials,-70.649399,42.628193,NE,0
naip_6184_NY_WND_i0j1,-78.3097006,42.54170560000001,NE,1
naip_3939_ME_WND_i1j0,-70.53080229999998,45.39030820000001,NE,3
naip_3598_MA_WND_i1j1,-70.5438908,41.757503299999996,NE,0
Nantucket High School,-70.097771,41.272144,NE,0
Ipswich II,-70.846397,42.717293,NE,0
Fenner Wind Power Project,-75.762001,42.98069,NE,1
Spruce Mountain,-70.560097,44.415691,NE,3
naip_5495_NH_WND_i0j1,-71.8239002,43.77310720000001,NE,0
Chestnut Flats,-78.489098,40.514591,NE,2
naip_6809_PA_WND_i1j0,-78.4819257,40.5278534,NE,2
"Department of Correction, NCCI Gardner",-71.938202,42.581692,NE,0
Mill Run Wind,-79.385574,39.929733,NE,2
Ringer Hill,-79.18465400000002,39.755249,NE,2
naip_6327_NY_WND_i0j0,-78.24879490000002,42.683819,NE,1
WED Coventry 1,-71.707817,41.675499,NE,0
Highland North,-78.676598,40.319992,NE,2
WED Portsmouth 1,-71.25131999999998,41.614353,NE,0
naip_6842_PA_WND_i0j1,-79.0177797,39.984175,NE,2
WED Coventry 5,-71.699883,41.659916,NE,0
naip_5502_NH_WND_i0j0,-72.1505007,43.238007700000004,NE,0
"Kibby Mountain, phase I",-70.536598,45.402889,NE,3
naip_3878_MD_WND_i1j0,-79.4722284,39.2594502,NE,2
naip_3985_ME_WND_i1j1,-70.5648215,44.4205949,NE,3
naip_3675_MA_WND_i1j0,-70.8613913,42.2661114,NE,0
Mount Wachusett Wind Farm,-71.983597,42.590691,NE,0
Zotos,-76.968399,42.887093,NE,1
