state,name,lon,lat,region,cluster
NY,Munnsville,-75.53699499999998,42.950691,NE,0
NY,Noble Ellenburg,-73.986099,44.869591,NE,3
NY,Noble Bliss,-78.241997,42.574290999999995,NE,0
NY,Munnsville,-75.570396,42.897490999999995,NE,0
NY,Fenner Wind Power Project,-75.7593,42.998591999999995,NE,0
NY,Noble Bliss,-78.247093,42.550990999999996,NE,0
MD,Roth Rock,-79.43639399999998,39.28569,NE,2
NH,Jericho Mountain,-71.225662,44.468952,NE,1
NY,Noble Wethersfield,-78.230293,42.644791,NE,0
NY,Maple Ridge (Lowville),-75.64299799999998,43.780792,NE,0
NY,Noble Chateaugay,-74.016602,44.900593,NE,3
ME,Bull Hill,-68.14810200000001,44.736290000000004,NE,1
MA,Massachusetts Maritime Academy,-70.623802,41.74139,NE,0
NY,Noble Clinton,-74.004295,44.894290999999996,NE,3
NY,Noble Clinton,-74.005798,44.897793,NE,3
NY,unknown Chautauqua County,-79.22879,42.330956,NE,0
NY,Orangeville Wind,-78.244385,42.712944,NE,0
ME,Stetson,-67.972298,45.552193,NE,1
NY,Noble Chateaugay,-74.036697,44.886192,NE,3
MA,Berkshire Wind,-73.275696,42.575993,NE,0
NY,Orangeville Wind,-78.224998,42.752491,NE,0
NY,Dutch Hill/Cohocton,-77.495598,42.522490999999995,NE,0
NY,Noble Chateaugay,-74.06779499999998,44.912490999999996,NE,3
NY,unknown Oneida County,-75.448891,42.974724,NE,0
ME,"Kibby Mountain, phase I",-70.537796,45.410393,NE,1
ME,Oakfield Wind,-68.090073,46.062431,NE,1
MD,Fair Wind,-79.400345,39.313572,NE,2
ME,Spruce Mountain,-70.562599,44.411792999999996,NE,1
NY,Noble Wethersfield,-78.269997,42.610893,NE,0
ME,Spruce Mountain,-70.55210100000002,44.422092,NE,1
NY,High Sheldon,-78.4151,42.761390999999996,NE,0
NY,Noble Wethersfield,-78.225296,42.615093,NE,0
NY,High Sheldon,-78.38229399999999,42.722294,NE,0
NY,Munnsville,-75.535797,42.928191999999996,NE,0
NY,Noble Clinton,-73.993599,44.951591,NE,3
ME,Oakfield Wind,-68.103149,46.082091999999996,NE,1
NY,Noble Wethersfield,-78.2453,42.604294,NE,0
NY,Marsh Hill,-77.49543,42.181430999999996,NE,0
ME,"Kibby Mountain, phase I",-70.533997,45.380192,NE,1
ME,Oakfield Wind,-68.138123,46.055332,NE,1
MD,Fair Wind,-79.386375,39.325684,NE,2
NY,Maple Ridge (Lowville),-75.6409,43.837292,NE,0
MA,Air Force (Barnstable),-70.591103,41.657692,NE,0
NY,Munnsville,-75.575699,42.897490999999995,NE,0
ME,Passadumkeag,-68.321976,45.137318,NE,1
ME,unknown Hancock County,-68.241936,44.80431,NE,1
NY,Copenhagen,-75.595314,43.87458,NE,0
NY,Munnsville,-75.563698,42.917992,NE,0
NY,Hardscrabble,-74.8936,43.19569,NE,0
MD,Criterion,-79.366135,39.345321999999996,NE,2
NY,Noble Bliss,-78.243599,42.536194,NE,0
NY,Noble Wethersfield,-78.287498,42.609093,NE,0
NY,Marble River,-73.920296,44.906693,NE,3
NY,Marble River,-73.925095,44.88229000000001,NE,3
ME,Stetson Wind expansion,-67.977699,45.636790999999995,NE,1
NY,Noble Altona,-73.634697,44.84359,NE,3
NY,Howard,-77.511299,42.323994,NE,0
NY,Howard,-77.504112,42.328938,NE,0
ME,Bull Hill,-68.153,44.706593,NE,1
ME,Canton Mountain,-70.30319200000001,44.514629,NE,1
MA,Hoosac,-73.02220200000002,42.706291,NE,0
NY,High Sheldon,-78.355995,42.765293,NE,0
NH,Lempster,-72.145401,43.23299,NE,0
NY,Maple Ridge (Lowville),-75.594101,43.790690999999995,NE,0
ME,unknown Hancock County,-68.22663100000001,44.796932,NE,1
ME,Stetson,-67.976196,45.53949,NE,1
NY,Marble River,-73.95079799999998,44.910591,NE,3
NY,Marble River,-73.92669699999998,44.946293,NE,3
NY,Maple Ridge,-75.563797,43.779990999999995,NE,0
NY,Orangeville Wind,-78.269798,42.741493,NE,0
NY,Maple Ridge,-75.562996,43.77359000000001,NE,0
NY,Noble Altona,-73.640999,44.80899,NE,3
NY,Dutch Hill/Cohocton,-77.492699,42.523990999999995,NE,0
NY,Maple Ridge (Lowville),-75.605202,43.802890999999995,NE,0
NY,Maple Ridge (Lowville),-75.6082,43.805492,NE,0
NY,Noble Bliss,-78.25569899999998,42.534492,NE,0
ME,Stetson,-67.976799,45.537292,NE,1
ME,Oakfield Wind,-68.08991999999999,46.016059999999996,NE,1
ME,Stetson,-67.968498,45.564491,NE,1
NY,Noble Clinton,-73.980202,44.947891,NE,3
NY,Noble Chateaugay,-74.064095,44.91119000000001,NE,3
NY,Madison Windpower,-75.44749499999998,42.894489,NE,0
NY,Hardscrabble,-74.871597,43.077789,NE,0
NY,Noble Bliss,-78.23539699999998,42.523193,NE,0
NY,Noble Clinton,-73.999496,44.903393,NE,3
NY,Arkwright Summit,-79.23028599999998,42.395222,NE,0
ME,"Kibby Mountain, phase I",-70.5354,45.40049000000001,NE,1
ME,Rollins,-68.36460100000001,45.37439000000001,NE,1
NY,Noble Bliss,-78.23159799999998,42.562092,NE,0
NY,Noble Ellenburg,-74.003098,44.85989,NE,3
NY,Howard,-77.550026,42.328388000000004,NE,0
NY,Noble Chateaugay,-74.021301,44.89809,NE,3
NY,Maple Ridge,-75.5774,43.78009,NE,0
NY,Noble Ellenburg,-73.996498,44.881691,NE,3
ME,Rollins,-68.3666,45.40419,NE,1
NY,Jericho Rise,-74.099625,44.885441,NE,3
MA,Hoosac,-73.02169,42.703548,NE,0
ME,Oakfield Wind,-68.076759,46.071251000000004,NE,1
NY,Maple Ridge (Lowville),-75.614899,43.809391,NE,0
ME,Hancock,-68.148781,44.77383,NE,1
