state,name,lon,lat,region
CA,251 Wind,-118.368088,35.075893,SW
CA,251 Wind,-118.368202,35.075695,SW
CA,251 Wind,-118.368385,35.075634,SW
CA,251 Wind,-118.36441,35.077435,SW
CA,251 Wind,-118.352219,35.088993,SW
CA,251 Wind,-118.351089,35.091896,SW
CA,251 Wind,-118.364197,35.077644,SW
CA,251 Wind,-118.363762,35.077908,SW
CA,251 Wind,-118.352165,35.088856,SW
CA,251 Wind,-118.368408,35.075542,SW
CA,251 Wind,-118.368187,35.075794,SW
CA,251 Wind,-118.36869,35.075294,SW
CA,251 Wind,-118.36869,35.075195,SW
CA,251 Wind,-118.352028,35.088959,SW
IA,30 MW Iowa DG Portfolio,-93.51371,42.019119,EM
IA,30 MW Iowa DG Portfolio,-93.367798,42.49794,EM
IA,30 MW Iowa DG Portfolio,-93.515892,42.016373,EM
IA,30 MW Iowa DG Portfolio,-93.632835,41.882477,EM
IA,30 MW Iowa DG Portfolio,-93.700424,41.977608,EM
IA,30 MW Iowa DG Portfolio,-93.523651,42.006813,EM
IA,30 MW Iowa DG Portfolio,-93.430367,42.028233,EM
IA,30 MW Iowa DG Portfolio,-92.672089,41.742046,EM
IA,30 MW Iowa DG Portfolio,-93.623009,41.88147,EM
IA,30 MW Iowa DG Portfolio,-93.518082,42.01363,EM
MA,6th Space Warning Squadron,-70.545303,41.754192,NE
MA,6th Space Warning Squadron,-70.541801,41.752491,NE
MA,AFCEE MMR Turbines,-70.547798,41.75959,NE
MA,AFCEE MMR Turbines,-70.545303,41.757591,NE
IA,AG Land 1,-93.325691,42.20639,EM
IA,AG Land 2,-93.428093,42.146091,EM
IA,AG Land 3,-93.431992,42.145592,EM
IA,AG Land 4,-93.354897,41.904194,EM
IA,AG Land 5,-93.632095,42.335491,EM
IA,AG Land 6,-93.636795,42.335491,EM
OH,AMP-Ohio/Green Mountain Energy Wind Farm,-83.736298,41.382492,EM
OH,AMP-Ohio/Green Mountain Energy Wind Farm,-83.736298,41.384693,EM
IA,Adair,-94.613396,41.467094,EM
IA,Adair,-94.612091,41.478592,EM
IA,Adair,-94.723892,41.463192,EM
IA,Adair,-94.715591,41.441792,EM
IA,Adair,-94.674889,41.423492,EM
IA,Adair,-94.687691,41.445091,EM
IA,Adair,-94.726593,41.442894,EM
IA,Adair,-94.660995,41.421093,EM
IA,Adair,-94.670593,41.423992,EM
IA,Adair,-94.676788,41.452393,EM
IA,Adair,-94.673988,41.494892,EM
IA,Adair,-94.626991,41.481194,EM
IA,Adair,-94.689392,41.470192,EM
IA,Adair,-94.658493,41.433193,EM
IA,Adair,-94.722794,41.443394,EM
IA,Adair,-94.678894,41.443993,EM
IA,Adair,-94.711792,41.441292,EM
IA,Adair,-94.63839,41.439693,EM
IA,Adair,-94.68409,41.443592,EM
IA,Adair,-94.68869,41.499294,EM
IA,Adair,-94.619591,41.451992,EM
IA,Adair,-94.730293,41.442394,EM
IA,Adair,-94.69899,41.457794,EM
IA,Adair,-94.692696,41.434994,EM
IA,Adair,-94.68869,41.486591,EM
IA,Adair,-94.665695,41.470993,EM
IA,Adair,-94.647896,41.465393,EM
IA,Adair,-94.618294,41.441593,EM
IA,Adair,-94.615791,41.452694,EM
IA,Adair,-94.669289,41.452293,EM
IA,Adair,-94.670395,41.434994,EM
IA,Adair,-94.681793,41.471592,EM
IA,Adair,-94.673492,41.463093,EM
IA,Adair,-94.630692,41.439194,EM
IA,Adair,-94.62249,41.466595,EM
IA,Adair,-94.618591,41.466793,EM
IA,Adair,-94.655891,41.457294,EM
IA,Adair,-94.61039,41.441395,EM
IA,Adair,-94.683395,41.484993,EM
IA,Adair,-94.630989,41.481194,EM
IA,Adair,-94.695595,41.445194,EM
